"school","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","Dalc","Walc","health","absences","G1","G2","G3"
"GP","F",18,"U","GT3","A",4,4,"At home","Teacher","Course","Mother",2,2,0,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,4,3,4,1,1,3,6,5,6,6
"GP","F",17,"U","GT3","T",1,1,"At home","Other","Course","Father",1,2,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,5,3,3,1,1,3,4,5,5,6
"GP","F",15,"U","LE3","T",1,1,"At home","Other","Other","Mother",1,2,3,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,4,3,2,2,3,3,10,7,8,10
"GP","F",15,"U","GT3","T",4,2,"Health","Services","Home","Mother",1,3,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3,2,2,1,1,5,2,15,14,15
"GP","F",16,"U","GT3","T",3,3,"Other","Other","Home","Father",1,2,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,4,3,2,1,2,5,4,6,10,10
"GP","M",16,"U","LE3","T",4,3,"Services","Other","Reputation","Mother",1,2,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,5,4,2,1,2,5,10,15,15,15
"GP","M",16,"U","LE3","T",2,2,"Other","Other","Home","Mother",1,2,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,4,4,4,1,1,3,0,12,12,11
"GP","F",17,"U","GT3","A",4,4,"Other","Teacher","Home","Mother",2,2,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,4,1,4,1,1,1,6,6,5,6
"GP","M",15,"U","LE3","A",3,2,"Services","Other","Home","Mother",1,2,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,4,2,2,1,1,1,0,16,18,19
"GP","M",15,"U","GT3","T",3,4,"Other","Other","Home","Mother",1,2,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,5,5,1,1,1,5,0,14,15,15
"GP","F",15,"U","GT3","T",4,4,"Teacher","Health","Reputation","Mother",1,2,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,3,3,3,1,2,2,0,10,8,9
"GP","F",15,"U","GT3","T",2,1,"Services","Other","Reputation","Father",3,3,0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,5,2,2,1,1,4,4,10,12,12
"GP","M",15,"U","LE3","T",4,4,"Health","Services","Course","Father",1,1,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,3,3,1,3,5,2,14,14,14
